SK_ID_CURR,TARGET
100001,0.09
100005,0.15
100013,0.08
100028,0.05
100038,0.11
100042,0.06
100057,0.05
100065,0.08
100066,0.05
100067,0.12
100074,0.18
100090,0.09
100091,0.06
100092,0.14
100106,0.07
100107,0.18
100109,0.13
100117,0.1
100128,0.1
100141,0.07
100150,0.02
100168,0.18
100169,0.13
100170,0.02
100171,0.08
100172,0.12
100184,0.08
100187,0.16
100212,0.06
100222,0.06
100223,0.07
100232,0.05
100241,0.18
100245,0.03
100253,0.04
100256,0.1
100271,0.11
100278,0.21
100280,0.03
100306,0.34
100311,0.18
100312,0.16
100330,0.19
100331,0.1
100352,0.14
100358,0.15
100367,0.04
100382,0.12
100384,0.1
100385,0.07
100386,0.03
100399,0.06
100404,0.09
100416,0.02
100422,0.06
100426,0.08
100438,0.04
100444,0.07
100445,0.14
100446,0.14
100447,0.1
100450,0.1
100466,0.08
100483,0.04
100484,0.06
100494,0.13
100510,0.11
100512,0.15
100517,0.07
100548,0.15
100551,0.08
100552,0.05
100553,0.04
100561,0.12
100568,0.2
100569,0.03
100591,0.05
100592,0.06
100602,0.1
100607,0.09
100613,0.11
100617,0.04
100618,0.11
100622,0.1
100625,0.11
100677,0.13
100699,0.08
100702,0.29
100711,0.12
100729,0.08
100740,0.11
100744,0.1
100745,0.13
100747,0.13
100751,0.29
100752,0.19
100753,0.16
100754,0.12
100760,0.05
100762,0.09
100763,0.16
100765,0.09
100770,0.07
100772,0.04
100777,0.06
100791,0.02
100792,0.07
100797,0.06
100823,0.04
100826,0.06
100830,0.11
100836,0.2
100872,0.04
100910,0.12
100913,0.29
100918,0.23
100931,0.04
100952,0.1
100953,0.1
100965,0.13
100970,0.07
100982,0.16
100983,0.15
100984,0.11
100987,0.06
100997,0.09
100998,0.19
101002,0.08
101005,0.12
101008,0.13
101020,0.03
101021,0.12
101024,0.17
101025,0.1
101026,0.18
101031,0.08
101041,0.03
101051,0.04
101055,0.11
101056,0.17
101057,0.05
101064,0.09
101079,0.17
101087,0.07
101090,0.07
101092,0.14
101097,0.06
101099,0.13
101107,0.08
101118,0.04
101125,0.04
101126,0.07
101128,0.06
101136,0.11
101140,0.09
101149,0.11
101160,0.17
101169,0.14
101181,0.17
101186,0.02
101190,0.13
101193,0.04
101194,0.11
101198,0.09
101200,0.04
101204,0.05
101211,0.07
101213,0.14
101223,0.08
101225,0.1
101237,0.13
101243,0.09
101244,0.09
101258,0.09
101259,0.2
101268,0.12
101269,0.07
101271,0.15
101279,0.05
101281,0.13
101287,0.05
101292,0.16
101294,0.16
101296,0.05
101297,0.04
101299,0.12
101301,0.04
101305,0.09
101308,0.09
101318,0.02
101327,0.15
101329,0.04
101332,0.09
101337,0.06
101343,0.07
101345,0.05
101346,0.05
101353,0.05
101354,0.13
101355,0.17
101356,0.08
101362,0.05
101363,0.14
101365,0.04
101366,0.1
101367,0.16
101368,0.04
101374,0.11
101380,0.11
101383,0.08
101398,0.09
101399,0.17
101401,0.1
101412,0.15
101426,0.06
101427,0.18
101428,0.2
101429,0.19
101434,0.06
101440,0.08
101448,0.02
101449,0.09
101465,0.06
101467,0.09
101472,0.07
101478,0.16
101497,0.11
101504,0.07
101547,0.04
101548,0.06
101555,0.17
101570,0.06
101572,0.08
101578,0.1
101580,0.22
101588,0.11
101602,0.11
101610,0.22
101614,0.1
101616,0.08
101643,0.04
101644,0.15
101649,0.1
101650,0.09
101665,0.08
101667,0.09
101669,0.13
101674,0.08
101675,0.03
101678,0.1
101682,0.11
101686,0.1
101697,0.13
101700,0.26
101711,0.11
101714,0.11
101715,0.14
101728,0.08
101732,0.05
101757,0.23
101758,0.09
101759,0.05
101762,0.1
101764,0.03
101780,0.17
101784,0.09
101789,0.01
101816,0.12
101819,0.11
101827,0.03
101863,0.04
101867,0.11
101870,0.15
101873,0.06
101878,0.1
101879,0.1
101880,0.01
101887,0.02
101897,0.27
101901,0.1
101903,0.16
101920,0.09
101921,0.1
101922,0.14
101961,0.1
101962,0.03
101971,0.09
101976,0.11
102002,0.06
102005,0.03
102007,0.25
102017,0.06
102019,0.09
102029,0.06
102051,0.21
102052,0.07
102054,0.01
102062,0.05
102067,0.21
102068,0.09
102070,0.03
102090,0.14
102092,0.06
102099,0.09
102100,0.07
102112,0.08
102113,0.06
102122,0.21
102123,0.15
102125,0.11
102126,0.2
102146,0.02
102147,0.1
102151,0.11
102158,0.08
102159,0.05
102162,0.08
102165,0.05
